Song Name | Artist Name | Genre
GNX | Kendrick Lamar | Hip Hop
HUMBLE. | Kendrick Lamar | Hip Hop
DNA. | Kendrick Lamar | Hip Hop
FEEL. | Kendrick Lamar | Hip Hop
LOYALTY. | Kendrick Lamar | Hip Hop
PRIDE. | Kendrick Lamar | Hip Hop
LUST. | Kendrick Lamar | Hip Hop
LOVE. | Kendrick Lamar | Hip Hop
XXX. | Kendrick Lamar | Hip Hop
FEAR. | Kendrick Lamar | Hip Hop
GOD. | Kendrick Lamar | Hip Hop
DUCKWORTH. | Kendrick Lamar | Hip Hop
Alright | Kendrick Lamar | Hip Hop
King Kunta | Kendrick Lamar | Hip Hop
i | Kendrick Lamar | Hip Hop
The Blacker The Berry | Kendrick Lamar | Hip Hop
These Walls | Kendrick Lamar | Hip Hop
u | Kendrick Lamar | Hip Hop
For Free? | Kendrick Lamar | Hip Hop
For Sale? | Kendrick Lamar | Hip Hop
Institutionalized | Kendrick Lamar | Hip Hop
Momma | Kendrick Lamar | Hip Hop
Hood Politics | Kendrick Lamar | Hip Hop
How Much A Dollar Cost | Kendrick Lamar | Hip Hop
Complexion | Kendrick Lamar | Hip Hop
The Art of Peer Pressure | Kendrick Lamar | Hip Hop
Money Trees | Kendrick Lamar | Hip Hop
Poetic Justice | Kendrick Lamar | Hip Hop
Swimming Pools | Kendrick Lamar | Hip Hop
Backseat Freestyle | Kendrick Lamar | Hip Hop
Bitch, Don't Kill My Vibe | Kendrick Lamar | Hip Hop
m.A.A.d city | Kendrick Lamar | Hip Hop
Real | Kendrick Lamar | Hip Hop
Compton | Kendrick Lamar | Hip Hop
Sherane a.k.a Master Splinter's Daughter | Kendrick Lamar | Hip Hop
Wesley's Theory | Kendrick Lamar | Hip Hop
Alright | Kendrick Lamar | Hip Hop
King Kunta | Kendrick Lamar | Hip Hop
i | Kendrick Lamar | Hip Hop
The Blacker The Berry | Kendrick Lamar | Hip Hop
These Walls | Kendrick Lamar | Hip Hop
u | Kendrick Lamar | Hip Hop
For Free? | Kendrick Lamar | Hip Hop
For Sale? | Kendrick Lamar | Hip Hop
Institutionalized | Kendrick Lamar | Hip Hop
Momma | Kendrick Lamar | Hip Hop
Hood Politics | Kendrick Lamar | Hip Hop
How Much A Dollar Cost | Kendrick Lamar | Hip Hop
Complexion | Kendrick Lamar | Hip Hop
The Art of Peer Pressure | Kendrick Lamar | Hip Hop
Money Trees | Kendrick Lamar | Hip Hop
Poetic Justice | Kendrick Lamar | Hip Hop
Blinding Lights | The Weeknd | R&B
Save Your Tears | The Weeknd | R&B
Can't Feel My Face | The Weeknd | R&B
Starboy | The Weeknd | R&B
Earned It | The Weeknd | R&B
The Hills | The Weeknd | R&B
In Your Eyes | The Weeknd | R&B
Heartless | The Weeknd | R&B
After Hours | The Weeknd | R&B
I Feel It Coming | The Weeknd | R&B
Adore You | Harry Styles | R&B
Watermelon Sugar | Harry Styles | R&B
Lights Up | Harry Styles | R&B
Falling | Harry Styles | R&B
Golden | Harry Styles | R&B
To Be So Lonely | Harry Styles | R&B
She | Harry Styles | R&B
Sunflower, Vol. 6 | Harry Styles | R&B
Canyon Moon | Harry Styles | R&B
Treat People With Kindness | Harry Styles | R&B
